,model_name,precision,recall,f1_score,roc_auc,coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Test_Year
124,XG Boost Classifier,0.7086725663716814,0.1196652719665272,0.20475581692661723,0.5328213722933871,0.10693061811575003,3,0.05,350,0.8,0.8,2023
125,XG Boost Classifier,0.598256735340729,0.10770328102710414,0.18254352030947776,0.5229808235377577,0.09500150557061127,3,0.05,350,0.8,0.8,2024
126,XG Boost Classifier,0.5776306107431936,0.3561705989110708,0.4406399101880438,0.554297560243446,0.31987760386018593,3,0.05,350,0.8,1.0,2019
127,XG Boost Classifier,0.6355804731300424,0.294905145612588,0.4028776978417266,0.6011087371418621,0.27635855188572295,3,0.05,350,0.8,1.0,2020
128,XG Boost Classifier,0.5912274849899933,0.2415343735095728,0.34295941566294197,0.5298483820672236,0.22595719023213748,3,0.05,350,0.8,1.0,2021
129,XG Boost Classifier,0.5198671831765357,0.3396240057845264,0.4108462715941395,0.5073064245414882,0.34048085619535723,3,0.05,350,0.8,1.0,2022
130,XG Boost Classifier,0.6964722319245547,0.11918708906156605,0.2035420813555862,0.5335331869559314,0.10836897687270525,3,0.05,350,0.8,1.0,2023
131,XG Boost Classifier,0.5945831570038087,0.10021398002853067,0.1715192577671977,0.5158527658925247,0.08894158386028304,3,0.05,350,0.8,1.0,2024
132,XG Boost Classifier,0.5842326928138984,0.3356775559588627,0.42637594851599275,0.5539878088612266,0.29806598407281,3,0.05,350,1.0,0.8,2019
133,XG Boost Classifier,0.6326931165007711,0.28633969925766134,0.39425176902245135,0.5974872704429575,0.2695563449474718,3,0.05,350,1.0,0.8,2020
134,XG Boost Classifier,0.5827142598296793,0.21911834843632896,0.3184789067142008,0.5289226061740888,0.20798160988845343,3,0.05,350,1.0,0.8,2021
135,XG Boost Classifier,0.5240215608155613,0.323355025307303,0.3999284564478626,0.5080123014514012,0.3216008441362677,3,0.05,350,1.0,0.8,2022
136,XG Boost Classifier,0.7004203286205579,0.10956365809922296,0.1894867421305629,0.5406651709775945,0.09905749649873197,3,0.05,350,1.0,0.8,2023
137,XG Boost Classifier,0.6290109890109891,0.10206847360912981,0.17563669837373427,0.5236975065676475,0.08562932851550738,3,0.05,350,1.0,0.8,2024
138,XG Boost Classifier,0.5802498512790006,0.3687991530550514,0.4509686069628739,0.5543912577634031,0.32972421639009847,3,0.05,350,1.0,1.0,2019
139,XG Boost Classifier,0.6383487885133114,0.27079500031723874,0.380273533211565,0.5954564058307161,0.25266419771748166,3,0.05,350,1.0,1.0,2020
140,XG Boost Classifier,0.5794531897265949,0.2382639503985828,0.3376786404016994,0.5281047935646241,0.2274268917696714,3,0.05,350,1.0,1.0,2021
141,XG Boost Classifier,0.5234401349072513,0.3366594360086768,0.4097689768976898,0.5049797756686367,0.33520500452215857,3,0.05,350,1.0,1.0,2022
142,XG Boost Classifier,0.6864290610006853,0.11972504482964734,0.2038884364820847,0.5396809607236952,0.11045081191566676,3,0.05,350,1.0,1.0,2023
143,XG Boost Classifier,0.6015511391177897,0.08851640513552068,0.15432444195734626,0.5093916706494707,0.07764980427582054,3,0.05,350,1.0,1.0,2024
144,XG Boost Classifier,0.5902968484372957,0.3413490623109498,0.4325619280341143,0.5669826090695969,0.2999882311404025,3,0.1,150,0.8,0.8,2019
145,XG Boost Classifier,0.6229330441854161,0.2916058625721718,0.3972513937508103,0.5883316520954143,0.2788149043912025,3,0.1,150,0.8,0.8,2020
146,XG Boost Classifier,0.5977374812843121,0.2448047966205628,0.3473511214230472,0.5319883003570898,0.2265224600542659,3,0.1,150,0.8,0.8,2021
147,XG Boost Classifier,0.5216075535649437,0.3115690527838033,0.39011362093160107,0.5076590400467825,0.3113129333735303,3,0.1,150,0.8,0.8,2022
148,XG Boost Classifier,0.6986256544502618,0.12761506276150628,0.21580915799049832,0.5253398474999256,0.11567432529618835,3,0.1,150,0.8,0.8,2023
149,XG Boost Classifier,0.6188204683434518,0.10178316690442225,0.17481318142839644,0.5264216478622233,0.08679614573923516,3,0.1,150,0.8,0.8,2024
150,XG Boost Classifier,0.58375,0.353145795523291,0.44006784771956275,0.5556502393976412,0.3138362559334667,3,0.1,150,0.8,1.0,2019
151,XG Boost Classifier,0.6460517584605175,0.30886365078357975,0.41792582417582425,0.6023522413144752,0.28474794044289925,3,0.1,150,0.8,1.0,2020
152,XG Boost Classifier,0.5992865636147443,0.24037609865776385,0.343123905854892,0.5275781080876469,0.22184956285800422,3,0.1,150,0.8,1.0,2021
153,XG Boost Classifier,0.5191006080073419,0.3271872740419378,0.40138377611212134,0.5065267187779381,0.32849713596623453,3,0.1,150,0.8,1.0,2022
154,XG Boost Classifier,0.6895179124281291,0.09318589360430364,0.1641830340687694,0.5345278631673374,0.08558234603883569,3,0.1,150,0.8,1.0,2023
155,XG Boost Classifier,0.6075022872827082,0.09472182596291012,0.16388991731457483,0.5232103160383386,0.08227943390545017,3,0.1,150,0.8,1.0,2024
156,XG Boost Classifier,0.5948161861941286,0.34013914095583786,0.4327913018377754,0.5660746255760922,0.2966537209211094,3,0.1,150,1.0,0.8,2019
157,XG Boost Classifier,0.6501868352974993,0.2870376245162109,0.39825696553545487,0.6024547769352645,0.26294308820194995,3,0.1,150,1.0,0.8,2020
158,XG Boost Classifier,0.6032408150168458,0.25618314369421546,0.35963653754184605,0.5337951018032319,0.23488845342176665,3,0.1,150,1.0,0.8,2021
159,XG Boost Classifier,0.5156629291411398,0.3225596529284165,0.39686846670521775,0.5019944489078838,0.32600994874886946,3,0.1,150,1.0,0.8,2022
160,XG Boost Classifier,0.711352657004831,0.10561864913329348,0.18392838555220153,0.5377490029579208,0.09402324084938869,3,0.1,150,1.0,0.8,2023
161,XG Boost Classifier,0.6089775561097257,0.08708987161198288,0.15238689547581905,0.5339827103864101,0.07546672688949112,3,0.1,150,1.0,0.8,2024
162,XG Boost Classifier,0.5825318720644151,0.3939050211736237,0.4699990977172246,0.5523098314222603,0.3507904750696324,3,0.1,150,1.0,1.0,2019
163,XG Boost Classifier,0.6427313372171792,0.3009961296872026,0.409990493475067,0.596733969960748,0.27892827450684,3,0.1,150,1.0,1.0,2020
164,XG Boost Classifier,0.5852785823820071,0.23403965388022074,0.3343716538498978,0.5254457391554554,0.22117123907145012,3,0.1,150,1.0,1.0,2021
165,XG Boost Classifier,0.5137246392535532,0.3423716558206797,0.41089946630797936,0.49961979008215046,0.3473394633705155,3,0.1,150,1.0,1.0,2022
166,XG Boost Classifier,0.6990106544901066,0.10980274955170352,0.18979233391879324,0.5280281025610781,0.09947386350732428,3,0.1,150,1.0,1.0,2023
167,XG Boost Classifier,0.5835095137420718,0.07874465049928674,0.138763197586727,0.5150316223646988,0.07121348991267691,3,0.1,150,1.0,1.0,2024
168,XG Boost Classifier,0.5796080440630204,0.3421808832425892,0.4303171508725215,0.5533153221049436,0.30626495625907185,3,0.1,250,0.8,0.8,2019
169,XG Boost Classifier,0.6276698360203941,0.2890045047903052,0.39577721782952474,0.5850557358044433,0.2742423097271559,3,0.1,250,0.8,0.8,2020
170,XG Boost Classifier,0.5911620294599018,0.24609933910199633,0.34752489536729686,0.5342915927221733,0.23025324088031354,3,0.1,250,0.8,0.8,2021
171,XG Boost Classifier,0.5254020041948264,0.3260303687635575,0.4023737283598073,0.5139227924384595,0.3234097075670787,3,0.1,250,0.8,0.8,2022
172,XG Boost Classifier,0.7010665897953301,0.1453676031081889,0.2408040001980296,0.5284855293717088,0.13130701389151747,3,0.1,250,0.8,0.8,2023
173,XG Boost Classifier,0.5822043207616258,0.11340941512125535,0.18983941257238374,0.5254667213421147,0.1027928334838904,3,0.1,250,0.8,0.8,2024
174,XG Boost Classifier,0.5691027496382055,0.35685117967332125,0.4386503067484662,0.5444042746264046,0.32529127927503826,3,0.1,250,0.8,1.0,2019
175,XG Boost Classifier,0.6470436686847868,0.3186980521540511,0.4270532222411154,0.5996282866591555,0.2933640692313506,3,0.1,250,0.8,1.0,2020
176,XG Boost Classifier,0.5905486324648002,0.2486202902500511,0.3499232834675873,0.5315669238234132,0.23285348206210432,3,0.1,250,0.8,1.0,2021
177,XG Boost Classifier,0.531809247956967,0.3717281272595806,0.4375877771630421,0.5127184974981787,0.3642975580343684,3,0.1,250,0.8,1.0,2022
178,XG Boost Classifier,0.6925953627524308,0.11069934249850567,0.19088847660276234,0.5338324059974718,0.1012150346341648,3,0.1,250,0.8,1.0,2023
179,XG Boost Classifier,0.5909090909090909,0.10663338088445079,0.18066465256797584,0.5168133255602338,0.09522734116230051,3,0.1,250,0.8,1.0,2024
180,XG Boost Classifier,0.5871756109851348,0.35246521476104054,0.44050656837728003,0.558332998600261,0.31140402494998237,3,0.1,250,1.0,0.8,2019
181,XG Boost Classifier,0.6557589736197204,0.28862381828564176,0.4008282668076482,0.6023248931460368,0.26214949739248733,3,0.1,250,1.0,0.8,2020
182,XG Boost Classifier,0.5952851961754039,0.24603120528718403,0.3481656462421058,0.53654379765313,0.2285951160687368,3,0.1,250,1.0,0.8,2021
183,XG Boost Classifier,0.5293797012972855,0.35112075198843096,0.4222057992435769,0.5090723901200053,0.3456813385589388,3,0.1,250,1.0,0.8,2022
184,XG Boost Classifier,0.6932258064516129,0.1284518828451883,0.21674230963187094,0.5346287842394586,0.11733979333055755,3,0.1,250,1.0,0.8,2023
