,mean_precision,mean_recall,mean_roc_auc,mean_f1_score,mean_coverage,std_precision,std_recall,std_roc_auc,std_f1_score,std_coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,qual
32,0.603071944,0.255263203,0.541216989,0.347530639,0.238066577,0.058696672,0.090704956,0.024588972,0.087617885,0.088526543,3,0.1,350,0.8,0.8,FAIL
33,0.605617415,0.261572489,0.539457147,0.348079444,0.243237529,0.055948635,0.116031318,0.028930761,0.11455561,0.112241207,3,0.1,350,0.8,1,FAIL
34,0.615993617,0.25357994,0.542914609,0.344678994,0.232385994,0.059418037,0.10409031,0.03090014,0.105157964,0.10031263,3,0.1,350,1,0.8,FAIL
35,0.599537211,0.255429875,0.538214073,0.33971266,0.240248113,0.05859112,0.120700627,0.027365445,0.120379589,0.116595388,3,0.1,350,1,1,FAIL
36,0.606168813,0.207918784,0.546756576,0.29212949,0.195138201,0.0704958,0.106196987,0.02657144,0.122685931,0.101787488,4,0.03,150,0.8,0.8,FAIL
37,0.608493645,0.208835505,0.547357357,0.292339054,0.195971238,0.075528235,0.108448538,0.026936672,0.124524613,0.105888176,4,0.03,150,0.8,1,FAIL
38,0.606790901,0.207624375,0.54846435,0.292118017,0.194768047,0.072049666,0.104289543,0.029046352,0.12259394,0.101260529,4,0.03,150,1,0.8,PASS
39,0.60895657,0.212836415,0.546915147,0.295535782,0.199128061,0.076943946,0.114015846,0.028244043,0.129421466,0.1096964,4,0.03,150,1,1,FAIL
40,0.613125328,0.230143903,0.547956066,0.317783834,0.21326077,0.065275301,0.106847621,0.027295889,0.113620811,0.103000296,4,0.03,250,0.8,0.8,FAIL
41,0.604343782,0.226906052,0.546637065,0.310803383,0.212334487,0.066738986,0.116310658,0.026499681,0.126746714,0.111751876,4,0.03,250,0.8,1,FAIL
42,0.608071786,0.226425345,0.549228058,0.311994408,0.210964068,0.0632793,0.111150056,0.029901519,0.122169731,0.106680806,4,0.03,250,1,0.8,PASS
43,0.607162465,0.226501514,0.548419543,0.310255879,0.211367152,0.068548446,0.117705557,0.030908236,0.125754356,0.112535234,4,0.03,250,1,1,PASS
44,0.610552535,0.237098636,0.547115664,0.325078188,0.220248414,0.065148699,0.107059592,0.025450906,0.110121852,0.10348884,4,0.03,350,0.8,0.8,FAIL
45,0.603984564,0.235473616,0.54622864,0.319860411,0.220146413,0.063256211,0.117694972,0.024738553,0.12459608,0.112989804,4,0.03,350,0.8,1,FAIL
